id,name,longitude,latitude
KENE_001,(ပတိဋ္ဌာနမြို့) Paithan,75.38831235,19.4768533
KENE_002,(မာဟိဿတိမြို့) Maheshwar,75.58337325,22.17751955
KENE_003,(အရိကမေဒု) Arikamedu,79.8201226,11.9012163
KENE_004,၀နဝါသီတိုင်း,75.01599384,14.53382748
KENE_005,၀လဘိတက္ကသိုလ်,71.8760722,21.8969139
KENE_006,Abhayagiri Stupa (අභයගිරිය දාගැබ),80.3952811,8.3709388
KENE_007,Aduru စေတီ,81.95454548,16.47848745
KENE_008,Ajanta Caves,75.7032521,20.5518603
KENE_009,Andher စေတီ (၃) ဆူ,77.90705066,23.41072737
KENE_010,Areraj အသောကကျောက်တိုင်,84.6475889,26.5502361
KENE_011,Aunrihar (မစ္ဆိကာသဏ္ဍ),83.1839061,25.5416862
KENE_012,Avukana ရုပ်ပွား,80.5127773,8.0108714
KENE_013,Bairath အသောကကျောက်စာ,76.1850736,27.4520316
KENE_014,Bavikonda စေတီ,83.3909582,17.8177175
KENE_015,Bedse Caves,73.5351111,18.7214361
KENE_016,Bhaja Caves,73.4815457,18.7283929
KENE_017,Bhattiprolu စေတီ,80.78051195,16.09927771
KENE_018,Bhita (သဟဇာတိမြို့),81.7866667,25.3063889
KENE_019,Bhojpur စေတီ (၃၀),77.83994341,23.43143099
KENE_020,Bihar State,86.97130556,25.26044147
KENE_021,Bojjanna Konda စေတီ,83.0160011,17.7103165
KENE_022,Budda Stupam စေတီ,80.7809097,16.0995051
KENE_023,Chandavaram စေတီ,79.4275361,15.9339889
KENE_024,Dhanam Bodu (Jaggayyapeta) စေတီ,80.1064823,16.8870057
KENE_025,Ellora Caves,75.1779975,20.025817
KENE_026,Fazilnagar [ပါဝါ],84.0528291,26.68439575
KENE_027,Gal Vihara (Rock Temple),81.0049479,7.9660522
KENE_028,Ganwaria ကျောင်းတိုက်,83.1211722,27.4423444
KENE_029,Gavimath အသောကကျောက်စာ,76.16226484,15.33727153
KENE_030,Ghantasala စေတီ,80.9488946,16.1696728
KENE_031,Giriyak Stupa,85.51315039,25.02510242
KENE_032,Girnar Asoka Edicts,70.4794621,21.5250813
KENE_033,Gotihawa စေတီ [ကကုသန်],83.01819867,27.52216165
KENE_034,Gudivada စေတီ,81.0031726,16.4321905
KENE_035,Gudiwada Dibba (ကျောင်းတိုက်),83.43271855,17.93935545
KENE_036,Gummadiduru စေတီ,80.3177049,16.8613827
KENE_037,Jaugada အသောကကျောက်စာ,84.8309075,19.5226836
KENE_038,Jetavanaramaya,80.4037871,8.3513167
KENE_039,Kalsi အသောကကျောက်စာ,77.8481716,30.5179529
KENE_040,Kanheri Caves,72.9068504,19.2058509
KENE_041,Karla Caves,73.4704426,18.7832762
KENE_042,Karla Caves,73.4704426,18.7832762
KENE_043,Ken မြစ်,79.96209485,24.89301595
KENE_044,Kodavali စေတီ,82.27367923,17.23969791
KENE_045,Lagham I အာရမစ်ကျောက်စာ,70.1834,34.5846
KENE_046,Lalitagiri ကျောင်းတိုက်ဟောင်း,86.2524001,20.5902553
KENE_047,Mahasthan အသောကကျောက်စာ [mRE],89.3428833,24.9606722
KENE_048,Maligawila ရုပ်ပွား,81.3523636,6.7283835
KENE_049,Mallepadu စေတီ (Paati Dibba),80.6381907,16.2240905
KENE_050,Mansehra အသောက ခရော့သျှဌီ,73.1666667,34.3333333
KENE_051,Mirisawetiya Stupa (မရိစ၀ဋ္ဋိစေတိ),80.3889742,8.3449317
KENE_052,Nelakondapally စေတီ,80.0683909,17.1118642
KENE_053,Ninor (ancient site),77.588035,22.71509505
KENE_054,Padrauna [ပါဝါ],83.97669205,26.8993153
KENE_055,Palkigundu အသောကကျောက်စာ,76.1369444,15.3441667
KENE_056,Pandav Leni ဂူကျောင်း,73.748555,19.9412114
KENE_057,Pauni Stupa,79.63233382,20.78432758
KENE_058,Piprahwa စေတီတော်,83.1283333,27.4479083
KENE_059,Pushpagiri ကျောင်းတိုက်,86.1903389,20.7227389
KENE_060,Rajula-mandagiri အသောကကျောက်စာ,77.4729396,15.43714502
KENE_061,Rampurva အသောကကျောက်စာတိုင်,84.4994667,27.2699306
KENE_062,Ratnagiri Monastery,86.3353,20.6412
KENE_063,Ratnagiri Monastery,86.3353,20.6412
KENE_064,Reswehera (Sesseruwa) ရုပ်ပွား,80.4174865,7.9940053
KENE_065,Sannati အသောကကျောက်စာ,76.93410069,16.83440464
KENE_066,Saru Maru စေတီ,77.52035031,22.72970256
KENE_067,Satdhara စေတီ,77.651588,23.48683981
KENE_068,Shahbaz Garhi အသောက ခရော့သျှဌီ,72.16,34.2355556
KENE_069,Siddapura အသောကကျောက်စာ,76.7996424,14.8136859
KENE_070,Sigiriya တောင်,80.7600266,7.9571924
KENE_071,Sunari  စေတီတော်များ,77.6632242,23.43155427
KENE_072,Thotlakonda စေတီ,83.40882614,17.82825835
KENE_073,Uttar Pradesh,84.20509915,26.38554237
KENE_074,Viratnagar (မစ္ဆတိုင်း),76.17832,27.42102
KENE_075,Yerragudi အသောကကျောက်စာ,77.5773187,15.2101166
KENE_076,ကဇင်္ဂလနိဂုံး,87.812055,24.79640005
KENE_077,ကဉ္စိပုရမြို့,79.69465283,12.81844364
KENE_078,ကဏ္ဏကုဇ္ဇမြို့,79.9157738,27.0437589
KENE_079,ကန်ဒဟာ ဂရိအသောကကျောက်စာ,65.6588889,31.6025
KENE_080,ကပိလဝတ်,83.05348861,27.57411446
KENE_081,ကမ္ပိလ္လမြို့,79.27759816,27.61269634
KENE_082,ကမ္ဗောဇတိုင်း,70.19351037,34.74628564
KENE_083,ကမ္မာသဓမ္မ နိဂမ,77.0861325,28.99228475
KENE_084,ကျောင်းတိုက်,79.45424169,20.99772429
KENE_085,ကလိင်္ဂစစ်ပွဲနေရာ (Dhauli Insc.),85.84259283,20.18962072
KENE_086,ကီဋာဂိရိ,82.91548183,25.63896945
KENE_087,ကုသိနာရုံ,83.89018742,26.73975608
KENE_088,ကေသရိယ စေတီ (ကေသမုတ္တနိဂုံး),84.85499638,26.33405143
KENE_089,ကောဏာဂမန စေတီ [Asoka Pillar],83.09559503,27.59494583
KENE_090,ကောသမ္ဗီ,81.40509995,25.35863996
KENE_091,ဂင်္ဂါမြစ်,80.91427623,26.06169885
KENE_092,ဂင်္ဂါမြစ်,78.13550167,28.81660131
KENE_093,ဂင်္ဂါမြစ်,83.98202869,25.60968582
KENE_094,ဂယာသီသအရပ်,84.99402787,24.76889288
KENE_095,ဃောသိတာရာမ ကျောင်းတိုက်,81.39126786,25.34002657
KENE_096,စန္ဒဘာဂါမြစ် [Chenab River),74.1852297,31.2609158
KENE_097,စန္ဒဘာဂါမြစ် [Chenab River),74.1852297,31.2609158
KENE_098,စမ္ပာ,87.12009384,24.96882254
KENE_099,စွယ်တော်,80.6337262,7.2905715
KENE_100,စာလိယတောင်,80.1940504,25.082023
KENE_101,စုန္ဒစေတီ,84.05357516,26.68350585
KENE_102,စေတီ,76.8210988,29.9630898
KENE_103,ဆံချီစေတီတော်,77.73945707,23.4782605
KENE_104,ဇမ္ဗုကောလဆိပ်ကမ်း,79.94325225,9.786423693
KENE_105,ဇယသိရီမဟာဗောဓိ,80.39721742,8.345110126
KENE_106,ဇေတဝနစေတီ,80.4037871,8.3513167
KENE_107,တက္ကသိုလ်ပြည်,72.84198072,33.74432483
KENE_108,တာမလိတ္တိ,87.91895689,22.28131951
KENE_109,တိဿမဟာရာမဝိဟာရ,81.29202698,6.280240997
KENE_110,ထုလ္လကောဋ္ဌိကနိဂမ,77.33212145,28.46409745
KENE_111,ထူဏဂါမ,76.82288479,29.97019042
KENE_112,ထူပါရာမစေတီ,80.3961111,8.3552778
KENE_113,ဒန္တပုရမြို့,83.91476401,18.47425397
KENE_114,ဒွါရက (ဒွါရ၀တီ),68.9693936,22.2467151
KENE_115,ဒီဃဝါပိရာဇ မဟာဝိဟာရ,81.7865528,7.284271506
KENE_116,ဓာတ်တော်စေတီ,85.11751552,25.99514554
KENE_117,နမ္မဒါမြစ်,73.74580206,21.87736107
KENE_118,နမ္မဒါမြစ်,76.10898918,22.31431066
KENE_119,နာဂဒီပစေတီ,79.7739722,9.61275
KENE_120,နာဂဒီပစေတီ,79.7739722,9.61275
KENE_121,နာဂါရ်ဇုနကောဏ္ဍာ,79.2451081,16.5238843
KENE_122,နာလန္ဒာ,85.44240117,25.13664541
KENE_123,နိဂြောဓာရုံကျောင်းတိုက်,83.0407139,27.5284667
KENE_124,ပယာဂဆိပ်ကမ်း,81.8621601,25.44133952
KENE_125,ပါဋလိပုတ် (Patna),85.14304289,25.60803743
KENE_126,ဗြဟ္မဂိရိ အသောကကျောက်စာ [mRE],76.8063889,14.8138889
KENE_127,ဗာ၀ရီရသေ့ကြီး၏နေရာ,78.66083061,19.01261058
KENE_128,ဗာရာဏသီ,83.02462698,25.38030356
KENE_129,ဗုဒ္ဓဂယာ,84.99170064,24.69738959
KENE_130,ဘဒ္ဒိယမြို့ (Munger),86.4734434,25.37100925
KENE_131,ဘာရဟုတ် စေတီတော်,80.8461007,24.4469192
KENE_132,ဘာရုကစ္ဆဆိပ်ကမ်း,73.0036299,21.72776225
KENE_133,မကုဋဗန္ဓနစေတီ,83.90330367,26.7359951
KENE_134,မကုလတောင်,81.32738811,24.30814931
KENE_135,မဓုရာ,77.6841546,27.47437435
KENE_136,မရိစ၀ဋိယစေတီ,80.3888889,8.345
KENE_137,မဟာစေတီ (အနုရာဓ),80.39578256,8.349052138
KENE_138,မဟာနဒီမြစ်,84.03072945,21.0120938
KENE_139,မဟိံသကတိုင်း [Mysore],76.6356928,12.31070388
KENE_140,မဟိန္ဒလေ့တောင်,80.5177848,8.3513108
KENE_141,မဟိယင်္ဂဏစေတီ,80.99079854,7.320472026
KENE_142,မဟီမြစ်,85.05937542,25.97913174
KENE_143,မိထိလာပြည်,85.93579987,26.71837149
KENE_144,ယမုံနာမြစ်,81.12883003,25.41126408
KENE_145,ယမုံနာမြစ်,77.0915284,29.52189381
KENE_146,ယောနကတိုင်း,65.6640278,31.6156389
KENE_147,ရာဇဂြိုဟ်,85.41736635,25.01371738
KENE_148,ရာမဂါမစေတီတော်,83.05348861,27.57411446
KENE_149,ရောရုက (သောဝီရတိုင်း),68.93692143,27.64403008
KENE_150,ရောဟိဏီမြစ်,83.3333215,26.76995481
KENE_151,ရောဟိဏီမြစ်,83.50271515,27.5068612
KENE_152,လင်္ကာရာမစေတီ,80.3915119,8.3654202
KENE_153,လိစ္ဆဝီနန်းတော်ဟောင်း,85.1268972,25.9868722
KENE_154,လုမ္ဗိနီ,83.27663946,27.47625593
KENE_155,လောဟပါသာဒ,80.39797268,8.346048881
KENE_156,ဝိကြမသိလာတက္ကသိုလ်,87.2847349,25.3239916
KENE_157,ဝေဒိသမြို့,77.81509997,23.52018538
KENE_158,ဝေရဉ္ဇာမြို့ [Ataranji khera ],78.6895086,27.6926527
KENE_159,ဝေသာလီ,85.11562549,25.98881975
KENE_160,သံသုမာရဂိရိ,82.87216947,25.09623504
KENE_161,သင်္ကဿ,79.2709816,27.3340599
KENE_162,သရဘူမြစ် [Ghaghara],83.93620998,26.04245314
KENE_163,သလလ၀တီမြစ်,86.4760056,23.2648694
KENE_164,သာကေတ,82.19916785,26.7897752
KENE_165,သာဂလပြည်,74.54097645,32.49324751
KENE_166,သာဝတ္ထိ,82.03960566,27.50854407
KENE_167,သိန္ဓုမြစ်,73.4642801,29.90451815
KENE_168,သိရီပါဒတောင်,80.49913328,6.809464406
KENE_169,သု၀ဏ္ဏမာလီမဟာစေတီ,80.3963889,8.35
KENE_170,သုပ္ပါရကဆိပ်ကမ်း,72.86717056,19.43014466
KENE_171,သောဏမြစ်,84.63611061,25.08252461
KENE_172,သောပါရစေတီတော် [Sopara stupa],72.7952432,19.4141938
KENE_173,သောမပုရမဟာဝိဟာရ,88.9773,25.0311
KENE_174,သောရေယျ,78.7475204,27.88630906
KENE_175,ဟတ္ထိနာပုရ,78.02,29.17
KENE_176,အစိရ၀တီမြစ်,82.01238269,27.54121433
KENE_177,အန၀တတ်အိုင်,81.45,30.65
KENE_178,အဘယဂိရိစေတီ,80.3952811,8.3709388
KENE_179,အဘိသိက်သွန်းလောင်းရာရေကန်တော်,85.1165557,25.9932008
KENE_180,အမရာ၀တီစေတီတော်,80.35673782,16.57570427
KENE_181,အလောကလှိုဏ်ဂူ,80.6218611,7.4971944
KENE_182,အလောင်းတော် ကဿပ,85.30032556,24.54665168
KENE_183,အလ္လကပ္ပ,84.39424248,26.9864817
KENE_184,အသောကကျောက်စာတိုင်,84.40907301,26.99863292
KENE_185,အသောကကျောက်တိုင်,85.1089336,26.0139711
KENE_186,အဟိစ္ဆတြမြို့ဟောင်း,79.136,28.371
KENE_187,အာဠဝီပြည်,80.19058995,26.92692005
KENE_188,ဣန္ဒပတ္ထနဂရ,77.2441667,28.6094444
KENE_189,ဣန္ဒသာလဂူ,85.64992789,25.08400214
KENE_190,ဥဇ္ဇေနီ,75.84465218,23.15500877
KENE_191,ဥဒယဂိရိကျောင်းတိုက်ဟောင်း,86.2692,20.6416
KENE_192,ဥဒုမ္ဗရမြို့ (Pathankot),75.6518555,32.26943545
KENE_193,ဥသိရဒ္ဓဇတောင်,78.17645091,29.92347217
